Date,Time,Location,Severity
2023-01-01,08:30,Warehouse,Low
2023-01-02,10:00,Office,High
2023-01-03,14:15,Factory,Medium
2023-01-04,18:00,Warehouse,High
2023-01-05,23:30,Factory,Low
2023-01-06,09:45,Office,Medium
2023-01-07,16:20,Warehouse,High
2023-01-08,11:00,Factory,Low
2023-01-09,13:10,Office,Medium
2023-01-10,20:40,Warehouse,High
2023-01-11,07:30,Factory,Low
2023-01-12,12:50,Office,Medium
2023-01-13,17:00,Warehouse,High
2023-01-14,22:15,Factory,Low
2023-01-15,09:20,Office,Medium
2023-01-16,15:40,Warehouse,High
2023-01-17,08:10,Factory,Low
2023-01-18,11:30,Office,Medium
2023-01-19,19:00,Warehouse,High
2023-01-20,21:45,Factory,Low
2023-01-21,06:50,Office,Medium
2023-01-22,14:20,Warehouse,High
2023-01-23,09:00,Factory,Low
2023-01-24,12:10,Office,Medium
2023-01-25,18:30,Warehouse,High
2023-01-26,23:10,Factory,Low
2023-01-27,08:40,Office,Medium
2023-01-28,16:00,Warehouse,High
2023-01-29,10:20,Factory,Low
2023-01-30,13:40,Office,Medium
2023-01-31,20:00,Warehouse,High
2023-02-01,07:50,Factory,Low
2023-02-02,11:10,Office,Medium
2023-02-03,17:50,Warehouse,High
2023-02-04,22:00,Factory,Low
2023-02-05,09:30,Office,Medium
2023-02-06,15:20,Warehouse,High
2023-02-07,08:00,Factory,Low
2023-02-08,12:40,Office,Medium
2023-02-09,19:20,Warehouse,High
2023-02-10,21:30,Factory,Low
2023-02-11,06:30,Office,Medium
2023-02-12,14:00,Warehouse,High
2023-02-13,09:10,Factory,Low
2023-02-14,13:20,Office,Medium
2023-02-15,18:10,Warehouse,High
2023-02-16,22:50,Factory,Low
2023-02-17,08:20,Office,Medium
2023-02-18,15:50,Warehouse,High
2023-02-19,10:10,Factory,Low
2023-02-20,12:30,Office,Medium
2023-02-21,19:30,Warehouse,High
2023-02-22,23:00,Factory,Low
2023-02-23,07:20,Office,Medium
2023-02-24,14:50,Warehouse,High
2023-02-25,09:50,Factory,Low
2023-02-26,11:40,Office,Medium
2023-02-27,18:50,Warehouse,High
2023-02-28,21:20,Factory,Low
2023-03-01,08:00,Office,Medium
2023-03-02,15:00,Warehouse,High
2023-03-03,10:30,Factory,Low
2023-03-04,13:30,Office,Medium
2023-03-05,19:10,Warehouse,High
2023-03-06,22:30,Factory,Low
2023-03-07,07:10,Office,Medium
2023-03-08,14:40,Warehouse,High
2023-03-09,09:30,Factory,Low
2023-03-10,12:00,Office,Medium
2023-03-11,18:20,Warehouse,High
2023-03-12,23:20,Factory,Low
2023-03-13,08:50,Office,Medium
2023-03-14,16:30,Warehouse,High
2023-03-15,10:40,Factory,Low
2023-03-16,13:50,Office,Medium
2023-03-17,20:10,Warehouse,High
2023-03-18,22:40,Factory,Low
2023-03-19,07:40,Office,Medium
2023-03-20,15:10,Warehouse,High
2023-03-21,09:20,Factory,Low
2023-03-22,11:50,Office,Medium
2023-03-23,18:40,Warehouse,High
2023-03-24,21:50,Factory,Low
2023-03-25,08:30,Office,Medium
2023-03-26,14:10,Warehouse,High
2023-03-27,10:00,Factory,Low
2023-03-28,12:20,Office,Medium
2023-03-29,19:40,Warehouse,High
2023-03-30,23:30,Factory,Low
2023-03-31,07:00,Office,Medium
